Team,W,ERA,H,R,ER,HR,BB,SO,KsPer9,BBper9,KperBB,Hper9,HRper9,AVG,WHIP,BABIP,LOB_pct,FIP,RAR,K_pct,BB_pct
Braves,106,3.25,1291,581,520,117,467,1232,7.71,2.92,2.64,8.08,0.73,0.236,1.22,0.285,0.74,3.53,255.7,0.207,0.08
Astros,102,3.5,1435,620,572,147,465,1187,7.26,2.84,2.55,8.78,0.9,0.251,1.29,0.295,0.76,3.86,178.7,0.191,0.08
Padres,98,3.63,1384,635,587,139,501,1217,7.53,3.1,2.43,8.56,0.86,0.247,1.3,0.293,0.75,3.84,202.1,0.198,0.08
Mets,88,3.77,1381,645,611,152,532,1129,6.97,3.28,2.12,8.52,0.94,0.248,1.31,0.287,0.76,4.18,143.8,0.183,0.09
Dodgers,83,3.81,1332,678,612,135,587,1178,7.33,3.65,2.01,8.28,0.84,0.241,1.33,0.284,0.73,4.06,171.8,0.191,0.1
Yankees,114,3.82,1357,656,619,156,466,1080,6.67,2.88,2.32,8.38,0.96,0.244,1.25,0.277,0.74,4.15,212.5,0.177,0.08
Pirates,69,3.91,1433,718,629,147,530,1112,6.91,3.29,2.1,8.9,0.91,0.253,1.35,0.292,0.71,4.08,172.4,0.179,0.09
Giants,89,4.19,1457,739,687,171,562,1089,6.64,3.42,1.94,8.88,1.04,0.253,1.37,0.287,0.73,4.42,120.3,0.171,0.09
Red Sox,92,4.19,1406,729,668,168,504,1025,6.42,3.16,2.03,8.81,1.05,0.252,1.33,0.282,0.71,4.4,156.7,0.167,0.08
Blue Jays,88,4.29,1443,768,698,169,587,1154,7.09,3.61,1.97,8.86,1.04,0.252,1.39,0.29,0.71,4.36,181.2,0.182,0.09
Cardinals,83,4.32,1513,782,706,151,558,972,5.95,3.42,1.74,9.27,0.92,0.262,1.41,0.292,0.7,4.4,123.5,0.152,0.09
Devil Rays,63,4.35,1425,751,698,171,643,1008,6.29,4.01,1.57,8.89,1.07,0.257,1.43,0.287,0.73,4.79,109.8,0.161,0.1
Expos,65,4.39,1448,783,696,156,533,1017,6.41,3.36,1.91,9.13,0.98,0.258,1.39,0.291,0.69,4.38,119.9,0.164,0.09
Reds,77,4.44,1400,760,711,170,573,1098,6.86,3.58,1.92,8.74,1.06,0.251,1.37,0.285,0.71,4.45,124.1,0.177,0.09
Indians,89,4.45,1552,779,722,171,563,1037,6.39,3.47,1.84,9.57,1.05,0.269,1.45,0.303,0.72,4.54,160.6,0.162,0.09
Angels,85,4.49,1481,783,720,164,630,1091,6.8,3.93,1.73,9.23,1.02,0.262,1.46,0.3,0.71,4.51,161.4,0.173,0.1
Cubs,90,4.5,1528,792,738,180,575,1207,7.35,3.5,2.1,9.31,1.1,0.261,1.42,0.302,0.72,4.35,142.2,0.187,0.09
Brewers,74,4.63,1538,812,746,188,550,1063,6.59,3.41,1.93,9.54,1.17,0.269,1.44,0.302,0.71,4.62,84.6,0.168,0.09
Diamondbacks,65,4.64,1463,812,738,188,489,908,5.71,3.07,1.86,9.19,1.18,0.26,1.36,0.282,0.68,4.69,87.4,0.148,0.08
Phillies,75,4.64,1476,808,754,188,544,1176,7.23,3.35,2.16,9.08,1.16,0.257,1.38,0.294,0.7,4.43,108.8,0.186,0.09
Orioles,79,4.74,1505,785,754,169,535,1065,6.7,3.36,1.99,9.46,1.06,0.267,1.43,0.304,0.7,4.4,161,0.171,0.09
Twins,70,4.76,1622,818,765,180,457,952,5.92,2.84,2.08,10.08,1.12,0.279,1.44,0.308,0.7,4.48,147,0.151,0.07
Athletics,74,4.83,1555,866,769,179,529,922,5.79,3.32,1.74,9.76,1.12,0.272,1.45,0.298,0.67,4.7,121.1,0.146,0.08
Tigers,65,4.93,1551,863,793,185,595,947,5.89,3.7,1.59,9.65,1.15,0.272,1.48,0.3,0.69,4.81,131.9,0.15,0.09
Mariners,76,4.95,1530,855,784,196,528,1156,7.3,3.34,2.19,9.67,1.24,0.269,1.44,0.308,0.69,4.54,157.4,0.184,0.08
Rangers,88,5,1624,871,795,164,519,994,6.25,3.26,1.92,10.21,1.03,0.28,1.5,0.315,0.67,4.42,180.8,0.156,0.08
Rockies,77,5,1583,855,796,174,562,951,5.97,3.53,1.69,9.94,1.09,0.28,1.5,0.311,0.69,4.7,156,0.152,0.09
Royals,72,5.16,1590,899,824,196,568,999,6.26,3.56,1.76,9.96,1.23,0.277,1.5,0.307,0.68,4.83,117.4,0.157,0.09
Marlins,54,5.2,1617,923,838,182,715,1016,6.31,4.44,1.42,10.04,1.13,0.28,1.61,0.313,0.69,4.97,13.7,0.155,0.11
White Sox,80,5.24,1569,931,837,211,580,911,5.7,3.63,1.57,9.82,1.32,0.274,1.49,0.294,0.67,5.1,55.1,0.143,0.09
Braves,103,3.65,1398,661,596,142,507,1197,7.32,3.1,2.36,8.55,0.87,0.246,1.3,0.289,0.73,3.85,280.2,0.193,0.08
Diamondbacks,100,3.77,1387,676,615,176,543,1198,7.35,3.33,2.21,8.51,1.08,0.246,1.32,0.284,0.75,4.27,217.1,0.192,0.09
Astros,97,3.84,1485,675,622,128,478,1204,7.43,2.95,2.52,9.16,0.79,0.261,1.35,0.312,0.73,3.69,270.7,0.194,0.08
Reds,96,3.99,1309,711,648,190,636,1081,6.65,3.92,1.7,8.06,1.17,0.236,1.33,0.262,0.74,4.74,142.4,0.174,0.1
Red Sox,94,4,1396,718,638,160,469,1131,7.09,2.94,2.41,8.75,1,0.249,1.3,0.287,0.71,4.1,227.2,0.185,0.08
Yankees,98,4.16,1402,731,665,158,581,1111,6.95,3.63,1.91,8.76,0.99,0.251,1.38,0.288,0.72,4.35,226.4,0.178,0.09
Mets,97,4.27,1372,711,691,167,617,1172,7.24,3.81,1.9,8.48,1.03,0.247,1.37,0.285,0.74,4.39,166.9,0.188,0.1
Pirates,78,4.35,1444,782,692,160,633,1083,6.8,3.97,1.71,9.07,1,0.258,1.45,0.296,0.71,4.51,155.7,0.173,0.1
Dodgers,77,4.45,1438,787,718,192,594,1077,6.67,3.68,1.81,8.91,1.19,0.254,1.4,0.284,0.72,4.72,125.8,0.171,0.09
Padres,74,4.47,1454,781,705,193,529,1078,6.83,3.35,2.04,9.21,1.22,0.26,1.4,0.292,0.71,4.57,126.9,0.175,0.09
Expos,68,4.69,1505,853,748,152,572,1043,6.54,3.59,1.82,9.44,0.95,0.265,1.45,0.301,0.67,4.38,184.6,0.165,0.09
Giants,86,4.71,1486,831,762,194,655,1076,6.65,4.05,1.64,9.18,1.2,0.26,1.47,0.29,0.71,4.84,104.4,0.167,0.1
Cardinals,75,4.76,1519,838,764,161,667,1025,6.38,4.15,1.54,9.46,1,0.267,1.51,0.301,0.7,4.68,145.9,0.16,0.1
Athletics,87,4.76,1537,846,761,160,569,967,6.05,3.56,1.7,9.62,1,0.27,1.46,0.302,0.68,4.53,194.5,0.153,0.09
Orioles,78,4.77,1468,815,761,198,647,982,6.16,4.06,1.52,9.21,1.24,0.264,1.47,0.29,0.72,5.01,120.6,0.157,0.1
Angels,70,4.79,1472,826,762,177,624,877,5.51,3.92,1.41,9.26,1.11,0.264,1.46,0.286,0.7,4.94,140.7,0.14,0.1
Marlins,64,4.9,1560,852,781,171,655,943,5.91,4.11,1.44,9.78,1.07,0.275,1.54,0.304,0.7,4.85,93.8,0.148,0.1
Indians,97,4.91,1503,860,792,197,634,1120,6.95,3.93,1.77,9.33,1.22,0.264,1.47,0.299,0.7,4.78,164.3,0.176,0.1
White Sox,75,4.92,1608,870,787,210,596,968,6.06,3.73,1.62,10.06,1.31,0.277,1.53,0.303,0.71,5.06,120.6,0.15,0.09
Blue Jays,84,4.93,1582,862,788,191,575,1009,6.31,3.6,1.75,9.89,1.19,0.276,1.5,0.306,0.69,4.77,147.6,0.158,0.09
Phillies,77,4.93,1494,846,788,212,627,1030,6.44,3.92,1.64,9.35,1.33,0.264,1.47,0.29,0.71,5.05,70.2,0.162,0.1
Twins,63,5.03,1591,845,795,208,487,927,5.86,3.08,1.9,10.06,1.32,0.279,1.46,0.303,0.7,4.82,128,0.149,0.08
Devil Rays,69,5.06,1606,913,805,172,695,1055,6.63,4.36,1.52,10.09,1.08,0.281,1.61,0.32,0.69,4.84,139.8,0.163,0.11
Rangers,95,5.07,1626,859,809,186,509,979,6.13,3.19,1.92,10.19,1.17,0.282,1.49,0.313,0.69,4.6,193.6,0.155,0.08
Brewers,74,5.08,1618,886,815,213,616,987,6.16,3.84,1.6,10.09,1.33,0.278,1.55,0.305,0.7,5.07,71.8,0.152,0.1
Tigers,69,5.22,1528,882,824,209,583,976,6.18,3.69,1.67,9.68,1.32,0.271,1.49,0.297,0.69,5.05,132.2,0.155,0.09
Mariners,79,5.25,1613,905,836,191,684,980,6.15,4.29,1.43,10.13,1.2,0.282,1.6,0.313,0.7,5.08,89.4,0.151,0.11
Cubs,67,5.27,1619,920,837,221,529,980,6.16,3.33,1.85,10.18,1.39,0.279,1.5,0.304,0.67,4.94,96.4,0.154,0.08
Royals,64,5.35,1607,921,845,202,643,831,5.26,4.07,1.29,10.18,1.28,0.283,1.58,0.303,0.69,5.31,78.6,0.13,0.1
Rockies,72,6.03,1700,1028,957,237,737,1032,6.5,4.64,1.4,10.71,1.49,0.294,1.71,0.325,0.68,5.52,87.1,0.157,0.11
Braves,95,4.06,1428,714,649,165,484,1093,6.83,3.02,2.26,8.92,1.03,0.253,1.33,0.288,0.72,4.19,228,0.177,0.08
Dodgers,86,4.1,1379,729,659,176,600,1154,7.19,3.74,1.92,8.59,1.1,0.247,1.37,0.283,0.73,4.52,168.9,0.185,0.1
Mets,94,4.16,1398,738,671,164,574,1164,7.22,3.56,2.03,8.68,1.02,0.248,1.36,0.286,0.72,4.31,196.6,0.186,0.09
Giants,97,4.21,1452,747,676,151,623,1076,6.7,3.88,1.73,9.05,0.94,0.259,1.44,0.297,0.72,4.38,172.7,0.172,0.1
Red Sox,85,4.24,1433,745,684,173,498,1121,6.95,3.09,2.25,8.88,1.07,0.253,1.33,0.288,0.71,4.29,205.5,0.18,0.08
Reds,85,4.33,1446,765,700,190,659,1015,6.27,4.07,1.54,8.94,1.17,0.255,1.45,0.282,0.74,4.88,145.8,0.16,0.1
Diamondbacks,85,4.36,1441,754,700,190,500,1220,7.61,3.12,2.44,8.98,1.18,0.257,1.34,0.297,0.72,4.28,220,0.198,0.08
Cardinals,95,4.4,1403,771,701,196,606,1100,6.91,3.8,1.82,8.81,1.23,0.254,1.4,0.285,0.72,4.77,158.1,0.177,0.1
Padres,76,4.52,1443,815,733,191,649,1071,6.61,4,1.65,8.9,1.18,0.253,1.43,0.282,0.71,4.84,100.6,0.167,0.1
Mariners,91,4.53,1442,780,726,167,634,998,6.23,3.96,1.57,9,1.04,0.258,1.44,0.288,0.71,4.65,165.9,0.159,0.1
Athletics,91,4.58,1535,813,730,158,615,963,6.04,3.86,1.57,9.62,0.99,0.27,1.5,0.301,0.7,4.61,183,0.152,0.1
Marlins,79,4.59,1477,797,729,169,650,1051,6.62,4.09,1.62,9.3,1.06,0.263,1.49,0.298,0.71,4.65,138.1,0.167,0.1
Brewers,73,4.63,1501,826,755,174,728,967,5.94,4.47,1.33,9.21,1.07,0.263,1.52,0.291,0.72,4.98,105.4,0.149,0.11
White Sox,95,4.67,1509,839,752,195,614,1037,6.44,3.81,1.69,9.36,1.21,0.266,1.46,0.296,0.7,4.83,177,0.164,0.1
Tigers,79,4.73,1583,827,759,177,496,978,6.1,3.09,1.97,9.87,1.1,0.275,1.44,0.306,0.69,4.5,185,0.155,0.08
Yankees,87,4.76,1458,814,753,177,577,1040,6.57,3.65,1.8,9.21,1.12,0.259,1.43,0.29,0.69,4.61,187.3,0.166,0.09
Phillies,65,4.79,1458,830,766,201,640,1123,7.03,4,1.75,9.12,1.26,0.259,1.46,0.292,0.71,4.81,114.4,0.178,0.1
Indians,90,4.84,1511,816,775,173,666,1213,7.57,4.16,1.82,9.43,1.08,0.266,1.51,0.312,0.71,4.48,215.3,0.19,0.1
Devil Rays,69,4.86,1553,842,773,198,533,955,6,3.35,1.79,9.77,1.24,0.273,1.46,0.299,0.7,4.85,143.2,0.152,0.09
Pirates,69,4.94,1554,888,796,163,711,1070,6.65,4.42,1.5,9.65,1.01,0.271,1.56,0.308,0.69,4.72,138.8,0.164,0.11
Angels,82,5.02,1534,869,807,228,662,846,5.26,4.11,1.28,9.53,1.42,0.269,1.52,0.282,0.71,5.46,51.7,0.132,0.1
Expos,67,5.14,1575,902,814,181,579,1011,6.39,3.66,1.75,9.95,1.14,0.276,1.51,0.309,0.67,4.71,142.8,0.16,0.09
Twins,69,5.16,1634,880,821,212,516,1042,6.55,3.24,2.02,10.26,1.33,0.282,1.5,0.314,0.69,4.76,139.3,0.165,0.08
Blue Jays,83,5.17,1615,908,826,195,560,978,6.12,3.51,1.75,10.11,1.22,0.281,1.51,0.31,0.68,4.84,146.4,0.153,0.09
Cubs,65,5.26,1505,904,850,231,658,1143,7.07,4.07,1.74,9.31,1.43,0.263,1.49,0.292,0.7,5.11,83.3,0.177,0.1
Rockies,82,5.29,1568,897,840,221,588,1001,6.3,3.7,1.7,9.87,1.39,0.276,1.51,0.302,0.69,5.13,170.8,0.158,0.09
Orioles,74,5.37,1547,913,855,202,665,1017,6.39,4.18,1.53,9.71,1.27,0.27,1.54,0.298,0.68,5.01,123.9,0.158,0.1
Astros,72,5.42,1596,944,865,234,598,1064,6.66,3.74,1.78,9.99,1.46,0.275,1.53,0.303,0.68,5.14,91.9,0.165,0.09
Royals,77,5.48,1585,930,877,239,693,927,5.8,4.33,1.34,9.91,1.49,0.278,1.58,0.296,0.7,5.54,70.4,0.144,0.11
Rangers,71,5.52,1683,974,876,202,661,918,5.78,4.16,1.39,10.6,1.27,0.288,1.64,0.314,0.68,5.21,117.8,0.14,0.1
Mariners,116,3.54,1293,627,576,160,465,1051,6.46,2.86,2.26,7.94,0.98,0.232,1.2,0.26,0.75,4.12,187.9,0.172,0.08
Athletics,102,3.59,1384,645,583,153,440,1117,6.87,2.71,2.54,8.51,0.94,0.246,1.25,0.282,0.74,3.88,234.9,0.183,0.07
Braves,88,3.59,1363,643,578,153,499,1133,7.05,3.1,2.27,8.48,0.95,0.245,1.29,0.283,0.75,3.96,207.6,0.186,0.08
Diamondbacks,92,3.88,1352,677,629,195,461,1297,8,2.84,2.81,8.34,1.2,0.243,1.24,0.284,0.75,4.08,200.3,0.213,0.08
Cardinals,93,3.96,1389,684,631,196,526,1083,6.79,3.3,2.06,8.71,1.23,0.251,1.33,0.281,0.76,4.57,115.3,0.177,0.09
Cubs,88,4.03,1357,701,643,164,550,1344,8.42,3.44,2.44,8.5,1.03,0.244,1.33,0.294,0.73,3.91,220.5,0.218,0.09
Yankees,95,4.04,1429,713,651,158,465,1266,7.85,2.88,2.72,8.86,0.98,0.253,1.31,0.3,0.72,3.79,249.6,0.205,0.08
Mets,82,4.08,1418,713,655,186,438,1191,7.41,2.73,2.72,8.83,1.16,0.252,1.28,0.29,0.72,4.07,170.4,0.195,0.07
Phillies,86,4.16,1417,719,668,170,527,1086,6.76,3.28,2.06,8.82,1.06,0.253,1.35,0.287,0.73,4.31,137.1,0.175,0.09
Red Sox,82,4.18,1412,745,672,146,544,1259,7.83,3.38,2.31,8.78,0.91,0.251,1.35,0.299,0.71,3.94,185.1,0.201,0.09
Giants,90,4.19,1437,748,682,145,579,1080,6.64,3.56,1.87,8.84,0.89,0.253,1.38,0.29,0.71,4.12,165.9,0.172,0.09
Angels,75,4.2,1452,730,671,168,525,947,5.93,3.29,1.8,9.09,1.05,0.259,1.38,0.286,0.73,4.48,143.3,0.153,0.09
Dodgers,86,4.25,1387,744,685,184,524,1212,7.52,3.25,2.31,8.61,1.14,0.247,1.32,0.286,0.72,4.26,161.9,0.196,0.09
Blue Jays,80,4.28,1553,753,696,165,490,1041,6.41,3.02,2.12,9.56,1.02,0.271,1.4,0.306,0.72,4.25,177.6,0.165,0.08
Marlins,76,4.32,1397,744,691,151,617,1119,7,3.86,1.81,8.74,0.95,0.252,1.4,0.292,0.72,4.29,132.4,0.18,0.1
Astros,93,4.39,1453,769,709,221,486,1228,7.6,3.01,2.53,8.99,1.37,0.256,1.33,0.291,0.73,4.48,139.6,0.197,0.08
Twins,85,4.51,1494,766,723,192,445,965,6.03,2.78,2.17,9.33,1.2,0.263,1.35,0.287,0.71,4.48,116.7,0.156,0.07
